"","NCTNum","Site","Status","Drug_Bio","Phases","Enrollment","Results","DrugBio","PH","Success"
"974","NCT00003604","Kidney","Unknown status","Biological: aldesleukin","20",20,"No Results Available","Bio",4,0
"975","NCT00117962","Lung","Completed","Biological: cetuximab|Drug: carboplatin|Drug: pemetrexed disodium|Radiation: radiation therapy","20",109,"Has Results","Drug",4,1
"976","NCT01482949","Kidney","Terminated","Drug: AGS-003","20",2,"No Results Available","Drug",4,0
"977","NCT00014534","Bladder","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: gemcitabine hydrochloride","30",42,"No Results Available","Drug",6,1
"978","NCT02199041","Leukemia","Terminated","Drug: Cyclophosphamide|Drug: Thiotepa|Drug: Fludarabine|Drug: Melphalan|Drug: Mesna|Biological: G-CSF|Drug: Mycophenolate mofetil|Drug: Tacrolimus|Drug: Methylprednisolone|Radiation: Total lymphoid irradiation|Biological: Lymphocyte infusions|Device: CliniMACS","20",24,"Has Results","Both",4,0
"979","NCT00983528","Leukemia","Unknown status","Biological: Alemtuzumab|Drug: Clofarabine","15",28,"No Results Available","Drug",3,0
"980","NCT00408772","Colorectal","Withdrawn","Biological: bevacizumab|Drug: capecitabine|Drug: oxaliplatin|Procedure: conventional surgery|Procedure: neoadjuvant therapy|Procedure: radiofrequency ablation","20",0,"No Results Available","Drug",4,0
"981","NCT00063388","Lung","Completed","Biological: Cetuximab","20",66,"No Results Available","Bio",4,1
"982","NCT00049114","Breast","Completed","Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Drug: tipifarnib|Biological: filgrastim|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis","20",62,"No Results Available","Both",4,1
"983","NCT00045422","Leukemia","Completed","Biological: recombinant interferon alfa|Drug: imatinib mesylate","20",NA,"No Results Available","Drug",4,1
"984","NCT00445887","Ovary","Completed","Other: Laboratory Biomarker Analysis|Drug: Levonorgestrel|Other: Placebo","20",64,"Has Results","Drug",4,1
"985","NCT00053118","Lymphoma","Completed","Biological: filgrastim|Drug: carboplatin|Drug: etoposide|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","10",1,"No Results Available","Drug",2,1
"986","NCT00040885","Lung","Completed","Biological: infliximab|Drug: docetaxel|Other: placebo","30",67,"No Results Available","Drug",6,1
"987","NCT00004089","Head_Neck","Completed","Biological: filgrastim|Drug: fluorouracil|Drug: hydroxyurea|Drug: paclitaxel|Procedure: conventional surgery|Radiation: radiation therapy","20",NA,"No Results Available","Drug",4,1
"988","NCT00003435","Leukemia","Withdrawn","Biological: anti-thymocyte globulin|Drug: melphalan|Procedure: antiviral therapy|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Procedure: umbilical cord blood transplantation|Radiation: radiation therapy","10",0,"No Results Available","Drug",2,0
"989","NCT01279291","Ovary","Terminated","Biological: KHK2866|Drug: Gemcitabine and Carboplatin|Drug: paclitaxel|Drug: pegylated liposomal doxorubicin","10",22,"No Results Available","Drug",2,0
"990","NCT00554463","Lung","Completed","Biological: Filgrastim|Biological: Pegfilgrastim|Drug: Concurrent chemotherapy|Drug: Adjuvant chemotherapy|Radiation: radiation therapy","20",5,"Has Results","Drug",4,1
"991","NCT00976677","Lung","Terminated","Drug: erlotinib hydrochloride|Drug: paclitaxel|Drug: carboplatin|Biological: bevacizumab","20",10,"Has Results","Both",4,0
"992","NCT00334763","Lung","Terminated","Biological: bevacizumab|Drug: carboplatin|Drug: chemoprotection|Drug: paclitaxel|Radiation: radiation therapy","20",32,"No Results Available","Drug",4,0
"993","NCT00023959","Head_Neck","Completed","Drug: hydroxyurea|Drug: fluorouracil|Biological: bevacizumab|Radiation: radiation therapy|Biological: filgrastim|Other: laboratory biomarker analysis","10",39,"No Results Available","Both",2,1
"994","NCT00004024","Brain","Completed","Biological: aldesleukin|Biological: autologous tumor cell vaccine|Biological: muromonab-CD3|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Procedure: surgical procedure|Radiation: radiation therapy","20",60,"No Results Available","Bio",4,1
"995","NCT00056030","Colorectal","Completed","Biological: cetuximab|Drug: fluorouracil|Drug: leucovorin calcium|Drug: oxaliplatin","20",73,"No Results Available","Drug",4,1
"996","NCT01999673","Lung","Completed","Biological: bavituximab|Drug: Docetaxel|Other: Placebo (for bavituximab)","30",582,"No Results Available","Drug",6,1
"997","NCT00004244","Kidney","Completed","Biological: recombinant interferon alfa|Biological: recombinant interleukin-12","10",30,"No Results Available","Bio",2,1
"998","NCT01118091","Melanoma","Completed","Biological: Aldesleukin|Biological: CD8 enriched Young TIL","20",12,"Has Results","Bio",4,1
"999","NCT00003486","Colorectal","Withdrawn","Drug: antineoplaston A10|Drug: antineoplaston AS2-1|Procedure: alternative product therapy|Procedure: biological therapy|Procedure: biologically based therapies|Procedure: cancer prevention intervention|Procedure: complementary and alternative therapy|Procedure: differentiation therapy","20",0,"No Results Available","Drug",4,0
"1000","NCT00194779","Breast","Completed","Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Drug: paclitaxel|Biological: filgrastim|Drug: capecitabine|Drug: methotrexate|Drug: vinorelbine tartrate|Procedure: needle biopsy|Procedure: therapeutic conventional surgery|Other: immunohistochemistry staining method|Biological: trastuzumab|Drug: tamoxifen citrate|Drug: letrozole|Other: laboratory biomarker analysis","20",50,"Has Results","Both",4,1
"1001","NCT00101972","Cancer","Completed","Biological: monoclonal antibody RAV12","10",53,"No Results Available","Bio",2,1
"1002","NCT00054912","Colorectal","Completed","Biological: EP2101","10",18,"No Results Available","Bio",2,1
"1003","NCT00004917","Head_Neck","Completed","Biological: epoetin alfa|Drug: cisplatin|Radiation: radiation therapy","30",NA,"No Results Available","Drug",6,1
"1004","NCT00281840","Head_Neck","Completed","Biological: bevacizumab|Drug: docetaxel|Procedure: conventional surgery|Radiation: radiation therapy","20",30,"Has Results","Drug",4,1
"1005","NCT00725634","Lymphoma","Completed","Biological: AV-299|Biological: AV-299 + erlotinib","10",41,"No Results Available","Bio",2,1
"1006","NCT00006039","Lymphoma","Completed","Biological: pegylated interferon alfa","20",NA,"No Results Available","Bio",4,1
"1007","NCT00295958","Melanoma","Completed","Biological: LMB-2 immunotoxin|Biological: MART-1 antigen|Biological: gp100 antigen|Biological: incomplete Freund's adjuvant","20",26,"No Results Available","Bio",4,1
"1008","NCT00003567","Lymphoma","Terminated","Biological: filgrastim|Biological: sargramostim|Biological: therapeutic autologous lymphocytes|Drug: O6-benzylguanine|Drug: carmustine|Drug: temozolomide|Procedure: in vitro-treated peripheral blood stem cell transplantation","10",8,"No Results Available","Drug",2,0
"1009","NCT00863434","Leukemia","Terminated","Drug: clofarabine|Drug: cytarabine|Biological: filgrastim","20",2,"Has Results","Both",4,0
"1010","NCT00059826","Pancreas","Completed","Biological: interferon-alfa-2b|Drug: cisplatin|Drug: 5-fluorouracil|Radiation: radiation therapy","20",89,"No Results Available","Drug",4,1
"1011","NCT00118105","Colorectal","Withdrawn","Biological: bevacizumab|Drug: capecitabine|Drug: oxaliplatin|Procedure: conventional surgery","20",0,"No Results Available","Drug",4,0
"1012","NCT00719212","Ovary","Completed","Biological: AMG 479","20",61,"Has Results","Bio",4,1
"1013","NCT00071942","Breast","Terminated","Biological: recombinant vaccinia-MUC1 vaccine|Biological: recombinant vaccinia-TRICOM vaccine|Other: laboratory biomarker analysis|Procedure: quality-of-life assessment","10",22,"No Results Available","Bio",2,0
"1014","NCT00407888","Breast","Completed","Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Biological: filgrastim|Drug: paclitaxel albumin-stabilized nanoparticle formulation|Biological: trastuzumab|Other: laboratory biomarker analysis|Procedure: quality-of-life assessment","20",60,"Has Results","Both",4,1
"1015","NCT01332786","Leukemia","Completed","Drug: Tigecycline","10",27,"No Results Available","Drug",2,1
"1016","NCT00621036","Lymphoma","Withdrawn","Biological: autologous immunoglobulin idiotype-KLH conjugate vaccine|Biological: sargramostim|Drug: methotrexate|Drug: thiotepa|Radiation: radiation therapy","20",0,"No Results Available","Drug",4,0
"1017","NCT00019110","Cervix","Completed","Biological: human papillomavirus 16 E7 peptide|Biological: synthetic human papillomavirus 16 E6 peptide","10",NA,"No Results Available","Bio",2,1
"1018","NCT00085436","Kidney","Completed","Biological: Aldesleukin,|Biological: autologous tumor cell vaccine|Biological: recombinant interferon alfa","20",18,"Has Results","Bio",4,1
"1019","NCT00003691","Uterus","Completed","Biological: filgrastim|Drug: cisplatin|Drug: doxorubicin hydrochloride|Drug: paclitaxel","30",240,"No Results Available","Drug",6,1
"1020","NCT00021333","Lung","Completed","Biological: filgrastim|Drug: cisplatin|Drug: paclitaxel|Radiation: radiation therapy","20",29,"No Results Available","Drug",4,1
"1021","NCT00925548","Breast","Terminated","Biological: Tecemotide (L-BLP25) and Hormonal Treatment|Biological: Placebo of tecemotide (L-BLP25) and Hormonal Treatment|Drug: cyclophosphamide|Drug: sodium chloride (NaCl)","30",16,"Has Results","Drug",6,0
"1022","NCT01673217","Ovary","Completed","Drug: decitabine|Biological: NY-ESO-1 peptide vaccine|Drug: pegylated liposomal doxorubicin hydrochloride|Biological: sargramostim|Biological: incomplete Freund's adjuvant|Other: immunohistochemistry staining method|Other: liquid chromatography|Other: mass spectrometry|Genetic: reverse transcriptase-polymerase chain reaction|Other: laboratory biomarker analysis|Genetic: DNA methylation analysis|Other: enzyme-linked immunosorbent assay","10",18,"No Results Available","Both",2,1
"1023","NCT00023634","Ovary","Terminated","Biological: KLH|Biological: GMCSF","10",14,"No Results Available","Bio",2,0
"1024","NCT00003199","Breast","Completed","Drug: tamoxifen citrate|Drug: busulfan|Drug: thiotepa|Drug: melphalan|Biological: aldesleukin|Biological: sargramostim|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","20",50,"Has Results","Both",4,1
"1025","NCT00988559","Cervix","Completed","Biological: DNA vaccination|Device: Gene gun vaccine|Biological: intramuscular vaccination|Biological: intra-lesional vaccine administration|Procedure: therapeutic resection of the lesion|Drug: imiquimod","10",132,"Has Results","Drug",2,1
"1026","NCT02012465","Lymphoma","Completed","Biological: Insulin protocol","05",15,"No Results Available","Bio",1,1
"1027","NCT01685606","Leukemia","Terminated","Biological: cellular immunotherapy","20",6,"Has Results","Bio",4,0
"1028","NCT00324415","Colorectal","Completed","Biological: cetuximab|Drug: cisplatin|Drug: fluorouracil|Radiation: radiation therapy","20",45,"Has Results","Drug",4,1
"1029","NCT00021164","Melanoma","Completed","Biological: aldesleukin|Biological: incomplete Freund's adjuvant|Biological: telomerase: 540-548 peptide vaccine","20",NA,"No Results Available","Bio",4,1
"1030","NCT00002882","Melanoma","Completed","Biological: Aldesleukin (IL-2)|Biological: Recombinant Interferon Alfa (IFN-A)|Drug: Cisplatin|Drug: Dacarbazine|Drug: Vinblastine|Procedure: Adjuvant Therapy","30",140,"No Results Available","Drug",6,1
"1031","NCT03419130","Bladder","Withdrawn","Radiation: Hypofractionated Radiation Therapy|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab|Radiation: Radiation Therapy","20",0,"No Results Available","Bio",4,0
"1032","NCT00003811","Ovary","Completed","Biological: bleomycin sulfate|Drug: amifostine trihydrate|Drug: cisplatin|Drug: etoposide|Procedure: conventional surgery","20",27,"No Results Available","Drug",4,1
"1033","NCT00982696","Head_Neck","Terminated","Biological: Opioid Growth Factor","20",5,"No Results Available","Bio",4,0
"1034","NCT00853021","Kidney","Completed","Biological: aldesleukin|Biological: bevacizumab","20",26,"Has Results","Bio",4,1
"1035","NCT00856492","Breast","Completed","Biological: bevacizumab|Biological: pegfilgrastim|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel albumin-stabilized nanoparticle formulation","20",215,"Has Results","Drug",4,1
"1036","NCT00813605","Colorectal","Completed","Other: FOLFIRI|Biological: AMG 655|Other: Placebo|Biological: AMG 479","20",155,"No Results Available","Bio",4,1
"1037","NCT00124618","Lung","Completed","Biological: cetuximab|Radiation: radiation therapy","20",58,"Has Results","Bio",4,1
"1038","NCT01205022","Colorectal","Completed","Drug: irinotecan hydrochloride|Drug: leucovorin calcium|Drug: fluorouracil|Biological: bevacizumab|Radiation: yttrium Y 90 DOTA anti-CEA monoclonal antibody M5A|Other: laboratory biomarker analysis","10",3,"No Results Available","Both",2,1
"1039","NCT00118326","Kidney","Completed","Biological: filgrastim|Procedure: allogeneic bone marrow transplantation","15",NA,"No Results Available","Bio",3,1
"1040","NCT00245037","Leukemia","Completed","Biological: therapeutic allogeneic lymphocytes|Drug: busulfan|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: mycophenolate mofetil|Procedure: peripheral blood stem cell transplantation|Radiation: Total Body Irradiation (TBI)|Drug: Granulocyte colony-stimulating factor (G-CSF)|Drug: Phenytoin|Drug: Methotrexate","15",147,"Has Results","Drug",3,1
"1041","NCT00070122","Colorectal","Terminated","Drug: oxaliplatin|Drug: leucovorin calcium|Drug: capecitabine|Biological: bevacizumab|Drug: fluorouracil|Other: laboratory biomarker analysis","30",2200,"No Results Available","Both",6,0
"1042","NCT01608711","Pancreas","Completed","Biological: AGS-1C4D4|Biological: gemcitabine","20",2,"No Results Available","Bio",4,1
"1043","NCT00773097","Colorectal","Completed","Biological: MUC1 - Poly ICLC","20",46,"Has Results","Bio",4,1
"1044","NCT01280058","Pancreas","Completed","Drug: Carboplatin|Other: Laboratory Biomarker Analysis|Drug: Paclitaxel|Biological: Wild-type Reovirus","20",73,"Has Results","Both",4,1
"1045","NCT00721162","Ovary","Completed","Biological: Ramucirumab","20",60,"Has Results","Bio",4,1
"1046","NCT00369291","Leukemia","Terminated","Biological: keyhole limpet hemocyanin|Biological: tetanus toxoid","10",19,"No Results Available","Bio",2,0
"1047","NCT00045149","Melanoma","Completed","Biological: aldesleukin|Biological: therapeutic tumor infiltrating lymphocytes","10",NA,"No Results Available","Bio",2,1
"1048","NCT00054899","Lung","Completed","Biological: EP2101","10",18,"No Results Available","Bio",2,1
"1049","NCT00001832","Melanoma","Completed","Drug: gp100:209-217 (210M)|Drug: Montanide ISA-51|Drug: IL-2|Drug: MART-1:26-35(27L)|Biological: Abl cells|Drug: Fludarabine|Drug: Cyclophosphamide|Biological: GCSF (Growth colony stimulating factor)|Procedure: Apheresis","20",170,"Has Results","Both",4,1
"1050","NCT00006470","Lung","Completed","Biological: monoclonal antibody 11D10 anti-idiotype vaccine|Biological: monoclonal antibody 3H1 anti-idiotype vaccine|Radiation: radiation therapy","20",NA,"No Results Available","Bio",4,1
"1051","NCT02130869","Lymphoma","Completed","Biological: CD133+ selected autologous stem cell infusion|Biological: IL-2|Biological: hu14.18K322A|Drug: Busulfan|Drug: Melphalan|Biological: GM-CSF|Drug: Bendamustine|Drug: Etoposide|Drug: Cytarabine|Drug: Carboplatin|Device: Haploidentical natural killer cell infusion|Biological: G-CSF|Drug: Etoposide phosphate|Device: CliniMACS","10",8,"No Results Available","Both",2,1
"1052","NCT01163201","Leukemia","Withdrawn","Biological: Treg cells|Biological: CD3+ Teff cells|Drug: Fludarabine|Drug: Cyclophosphamide|Radiation: Total body irradiation|Biological: Umbilical cord blood transplantation","15",0,"No Results Available","Both",3,0
"1053","NCT00083720","Colorectal","Completed","Biological: cetuximab","20",87,"Has Results","Bio",4,1
"1054","NCT00003243","Leukemia","Completed","Biological: aldesleukin|Biological: filgrastim|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: etoposide|Drug: pegylated liposomal doxorubicin hydrochloride","10",NA,"No Results Available","Drug",2,1
"1055","NCT00006012","Lung","Completed","Biological: filgrastim|Drug: amifostine trihydrate|Drug: cisplatin|Drug: etoposide|Drug: paclitaxel|Drug: topotecan hydrochloride|Radiation: radiation therapy","15",73,"No Results Available","Drug",3,1
"1056","NCT00003279","Lung","Completed","Biological: BCG vaccine|Biological: monoclonal antibody BEC2","30",500,"No Results Available","Bio",6,1
"1057","NCT00003313","Lung","Completed","Biological: filgrastim|Drug: amifostine trihydrate|Drug: carboplatin|Drug: paclitaxel|Radiation: radiation therapy","30",243,"No Results Available","Drug",6,1
"1058","NCT00003003","Leukemia","Completed","Biological: sargramostim|Drug: mitomycin C|Drug: mitoxantrone hydrochloride","10",29,"No Results Available","Drug",2,1
"1059","NCT00104780","Lung","Unknown status","Biological: EP-2101|Biological: incomplete Freund's adjuvant","20",NA,"No Results Available","Bio",4,0
"1060","NCT00602225","Leukemia","Completed","Drug: clofarabine|Drug: cytarabine|Biological: filgrastim","15",50,"Has Results","Both",3,1
"1061","NCT02448810","Colorectal","Terminated","Biological: BAX69 + infusional 5-FU/LV|Biological: BAX69 + panitumumab|Biological: BAX69 + 5-FU/LV|Drug: Standard of Care|Biological: Standard of Care","20",115,"Has Results","Both",4,0
"1062","NCT00807612","Lung","Terminated","Biological: AMG 479|Drug: Carboplatin|Drug: Paclitaxel","15",49,"No Results Available","Drug",3,0
"1063","NCT00028496","Breast","Completed","Biological: recombinant fowlpox-CEA(6D)/TRICOM vaccine|Biological: sargramostim|Biological: recombinant fowlpox GM-CSF vaccine adjuvant","10",48,"No Results Available","Bio",2,1
"1064","NCT00309907","Kidney","Completed","Biological: etanercept|Drug: methylprednisolone","20",39,"Has Results","Drug",4,1
"1065","NCT01256385","Head_Neck","Completed","Biological: Cetuximab|Other: Laboratory Biomarker Analysis|Drug: Temsirolimus","20",86,"Has Results","Drug",4,1
"1066","NCT00045617","Lung","Terminated","Biological: monoclonal antibody 11D10 anti-idiotype vaccine|Biological: monoclonal antibody GD2 anti-idiotype vaccine|Drug: cisplatin|Drug: etoposide|Radiation: radiation therapy","20",9,"No Results Available","Drug",4,0
"1067","NCT00003163","Lymphoma","Unknown status","Biological: filgrastim|Biological: sargramostim|Drug: cyclophosphamide|Drug: melphalan|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","20",10,"No Results Available","Drug",4,0
"1068","NCT00593554","Leukemia","Terminated","Radiation: Total Body Irradiation|Drug: Thiotepa|Drug: Fludarabine|Biological: Rabbit ATG|Drug: Palifermin","20",9,"Has Results","Both",4,0
"1069","NCT00945009","Kidney","Completed","Biological: Dactinomycin|Drug: Doxorubicin Hydrochloride|Radiation: Radiation Therapy|Procedure: Therapeutic Conventional Surgery|Drug: Vincristine Sulfate","30",249,"No Results Available","Drug",6,1
"1070","NCT00078585","Prostate","Completed","Biological: PROSTVAC®-VF/TRICOM™","20",120,"No Results Available","Bio",4,1
"1071","NCT00003239","Leukemia","Completed","Biological: Recombinant Interferon Alfa|Drug: Cytarabine|Drug: Omacetaxine Mepesuccinate","20",90,"No Results Available","Drug",4,1
"1072","NCT00128622","Lung","Completed","Biological: denileukin diftitox|Biological: recombinant fowlpox-CEA(6D)/TRICOM vaccine|Biological: therapeutic autologous dendritic cells","10",24,"No Results Available","Bio",2,1
"1073","NCT01316757","Head_Neck","Completed","Biological: cetuximab|Drug: paclitaxel|Drug: carboplatin|Drug: erlotinib hydrochloride|Other: laboratory biomarker analysis","20",24,"No Results Available","Drug",4,1
"1074","NCT02207010","Brain","Unknown status","Biological: AZD1775","05",20,"No Results Available","Bio",1,0
"1075","NCT00053989","Leukemia","Completed","Biological: anti-thymocyte globulin|Biological: graft-versus-tumor induction therapy|Biological: sargramostim|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: methylprednisolone|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Procedure: umbilical cord blood transplantation","20",41,"No Results Available","Drug",4,1
"1076","NCT00943709","Leukemia","Withdrawn","Biological: insulin glargine recombinant|Drug: therapeutic insulin","30",0,"No Results Available","Drug",6,0
"1077","NCT00003842","Brain","Unknown status","Biological: interleukin-4 PE38KDEL cytotoxin|Drug: isolated perfusion|Procedure: surgical procedure","10",30,"No Results Available","Drug",2,0
"1078","NCT01084083","Head_Neck","Completed","Biological: cetuximab|Radiation: intensity-modulated radiation therapy (IMRT)|Drug: Paclitaxel|Drug: Cisplatin","20",90,"Has Results","Drug",4,1
"1079","NCT00002475","Lung","Completed","Biological: allogeneic tumor cell vaccine|Biological: autologous tumor cell vaccine|Biological: recombinant interferon alfa|Biological: recombinant interferon gamma|Biological: sargramostim|Drug: cyclophosphamide","20",40,"No Results Available","Drug",4,1
"1080","NCT01250470","Brain","Completed","Other: Laboratory Biomarker Analysis|Drug: Montanide ISA-51/Survivin Peptide Vaccine|Biological: Sargramostim","10",9,"No Results Available","Both",2,1
"1081","NCT00423852","Ovary","Completed","Biological: filgrastim|Drug: carboplatin|Drug: ifosfamide|Drug: paclitaxel|Procedure: autologous hematopoietic stem cell transplantation|Procedure: peripheral blood stem cell transplantation","15",26,"Has Results","Drug",3,1
"1082","NCT00433446","Prostate","Completed","Biological: CNTO 328","20",62,"Has Results","Bio",4,1
"1083","NCT00751270","Brain","Completed","Biological: AdV-tk|Drug: Valacyclovir","10",15,"No Results Available","Drug",2,1
"1084","NCT01937715","Colorectal","Terminated","Drug: PF-05212384|Drug: FOLFIRI regimen|Biological: Bevacizumab|Drug: FOLFIRI","15",18,"Has Results","Both",3,0
"1085","NCT00004052","Leukemia","Completed","Biological: QS21|Biological: bcr-abl peptide vaccine","20",24,"No Results Available","Bio",4,1
"1086","NCT00939627","Head_Neck","Completed","Biological: cetuximab|Other: placebo|Drug: sorafenib tosylate|Other: laboratory biomarker analysis|Procedure: quality-of-life assessment","20",55,"Has Results","Drug",4,1
"1087","NCT00080925","Leukemia","Completed","Biological: filgrastim|Biological: graft-versus-tumor induction therapy|Biological: rituximab|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: cyclosporine|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: fludarabine phosphate|Drug: prednisone|Drug: vincristine sulfate|Procedure: peripheral blood stem cell transplantation","10",20,"No Results Available","Drug",2,1
"1088","NCT00304018","Leukemia","Completed","Biological: anti-thymocyte globulin|Biological: sargramostim|Drug: busulfan|Drug: etoposide|Drug: fludarabine phosphate|Drug: prednisone|Drug: tacrolimus|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: umbilical cord blood transplantation","10",5,"No Results Available","Drug",2,1
"1089","NCT00001575","Lymphoma","Completed","Biological: Y-90 Humanized Anti-Tac|Drug: Calcium-DTPA","15",87,"Has Results","Drug",3,1
"1090","NCT01183780","Colorectal","Completed","Biological: Ramucirumab|Biological: Placebo|Drug: Irinotecan|Drug: Folinic Acid|Drug: 5-Fluorouracil","30",1072,"Has Results","Drug",6,1
"1091","NCT01008527","Melanoma","Completed","Drug: CP 870,893|Biological: Peptides|Biological: Oncovir poly IC:LC","10",22,"No Results Available","Both",2,1
"1092","NCT01116232","Leukemia","Terminated","Biological: anti-thymocyte globulin|Biological: rituximab|Drug: sirolimus|Drug: tacrolimus|Other: laboratory biomarker analysis|Procedure: allogeneic hematopoietic stem cell transplantation|Procedure: management of therapy complications|Procedure: peripheral blood stem cell transplantation","20",4,"Has Results","Drug",4,0
"1093","NCT01042366","Melanoma","Terminated","Biological: Vaccination","20",16,"Has Results","Bio",4,0
"1094","NCT02259348","Leukemia","Terminated","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: G-CSF|Biological: Interleukin-2|Drug: Melphalan|Drug: Thiotepa|Drug: Rituximab|Biological: Natural killer cell therapy|Biological: T-cell depleted HPC transplant|Biological: CD45RA-depleted HPC transplant","20",12,"Has Results","Both",4,0
"1095","NCT00003789","Melanoma","Completed","Drug: isolated limb perfusion|Drug: melphalan|Biological: recombinant tumor necrosis factor family protein|Other: pharmacological study|Other: laboratory biomarker analysis","30",216,"No Results Available","Both",6,1
"1096","NCT00027560","Leukemia","Completed","Biological: alemtuzumab|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: melphalan|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","20",51,"Has Results","Drug",4,1
"1097","NCT00107471","Brain","Terminated","Biological: filgrastim|Drug: topotecan hydrochloride|Radiation: radiation therapy","15",7,"No Results Available","Drug",3,0
"1098","NCT00301951","Leukemia","Completed","Biological: anti-thymocyte globulin|Biological: sargramostim|Drug: busulfan|Drug: fludarabine phosphate|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: umbilical cord blood transplantation","10",7,"No Results Available","Drug",2,1
"1099","NCT01284205","Bladder","Withdrawn","Biological: Mycobacterial Cell-Wall DNA Complex|Biological: Bacillus Calmette-Guerin","30",0,"No Results Available","Bio",6,0
"1100","NCT00450866","Breast","Completed","Biological: epothilone B","20",55,"Has Results","Bio",4,1
"1101","NCT00003046","Colorectal","Completed","Biological: Recombinant Interleukin-12","10",29,"No Results Available","Bio",2,1
"1102","NCT00007813","Ovary","Unknown status","Biological: filgrastim|Drug: carboplatin|Drug: cyclophosphamide|Drug: etoposide|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","10",36,"No Results Available","Drug",2,0
"1103","NCT00589875","Brain","Completed","Biological: AdV-tk|Drug: Valacyclovir","20",52,"No Results Available","Drug",4,1
"1104","NCT00040950","Lymphoma","Completed","Biological: rituximab|Drug: agatolimod sodium","10",NA,"No Results Available","Drug",2,1
"1105","NCT00300612","Melanoma","Completed","Biological: HyperAcute-Melanoma Vaccine","15",6,"No Results Available","Bio",3,1
"1106","NCT00126503","Kidney","Completed","Biological: Bevacizumab|Drug: Sorafenib Tosylate|Other: Pharmacological Study|Other: Laboratory Biomarker Analysis","15",73,"Has Results","Drug",3,1
"1107","NCT01316263","Stomach","Terminated","Biological: Olaratumab","20",21,"Has Results","Bio",4,0
"1108","NCT00075634","Brain","Completed","Drug: decitabine|Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Biological: filgrastim|Biological: pegfilgrastim|Other: laboratory biomarker analysis|Other: pharmacological study","10",21,"No Results Available","Both",2,1
"1109","NCT00667927","Leukemia","Completed","Drug: Busulfan|Drug: Cyclophosphamide|Drug: Mesna","10",17,"No Results Available","Drug",2,1
"1110","NCT01270438","Colorectal","Withdrawn","Drug: FOLFOX regimen|Drug: gamma-secretase/Notch signalling pathway inhibitor RO4929097|Biological: bevacizumab|Drug: oxaliplatin|Drug: leucovorin calcium|Drug: fluorouracil","20",0,"No Results Available","Both",4,0
"1111","NCT01404702","Brain","Terminated","Drug: Zoledronic Acid|Biological: Aldesleukin","10",4,"No Results Available","Both",2,0
"1112","NCT00827099","Leukemia","Terminated","Biological: anti-thymocyte globulin|Drug: fludarabine phosphate|Drug: Melphalan|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: umbilical cord blood transplantation","20",5,"Has Results","Drug",4,0
"1113","NCT00524277","Breast","Unknown status","Biological: GP2 peptide + GM-CSF vaccine|Biological: GM-CSF (sargramostim)|Biological: AE37 + GM-CSF vaccine","20",600,"No Results Available","Bio",4,0
"1114","NCT00005960","Prostate","Unknown status","Biological: filgrastim|Drug: cyclophosphamide|Drug: docetaxel|Drug: doxorubicin hydrochloride|Procedure: pain therapy","20",NA,"No Results Available","Drug",4,0
"1115","NCT00471887","Melanoma","Completed","Biological: CP-675,206","20",34,"No Results Available","Bio",4,1
"1116","NCT00003992","Breast","Completed","Biological: trastuzumab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: paclitaxel|Drug: tamoxifen citrate","20",200,"No Results Available","Drug",4,1
"1117","NCT00874848","Lung","Completed","Biological: Imprime PGG Injection|Biological: Cetuximab|Drug: Paclitaxel|Drug: Carboplatin","20",90,"Has Results","Drug",4,1
